time_register,email,student_name,student_id,dob,gender,cccd,phone_number,student_email,faculty,major,class,year,gpa,address,distance,priority_reasons,evidence_images,note
08/02/2026,hoangvanlong12@gmail.com,Hoang Van Long,2251164012,04/06/2006,Nam,1205000012,0886203602,hoangvanlong12@sv.tlu.edu.vn,Quản trị kinh doanh,Quản trị doanh nghiệp,65QTDN1,năm 3,3.14,Gia Lai,318,Vùng sâu vùng xa,https://drive.google.com/file/d/1hVXwbatCzwNf-vDflGZTpa9vMfSQ56JT/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,phamvancuong13@gmail.com,Pham Van Cuong,2251164013,10/06/2005,Nam,1205000013,0685285873,phamvancuong13@sv.tlu.edu.vn,Kinh tế,Kinh tế xây dựng,65KTXD1,năm 3,2.53,Nghệ An,307,Hộ nghèo cận nghèo,https://drive.google.com/file/d/1RdoxSXriklJIZpxBgeDHWfJpNgAzS8U2/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dothimai14@gmail.com,Do Thi Mai,2251164014,28/09/2006,Nữ,1205000014,0238196619,dothimai14@sv.tlu.edu.vn,Công nghệ thông tin,Kỹ thuật phần mềm,64KTPM1,năm 1,2.45,Lào Cai,306,Lưu học sinh (Lào/Campuchia),https://drive.google.com/file/d/1iIFGy0tEVUDCKXV1teMHa7a9iSjt6RAx/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,phamvancuong15@gmail.com,Pham Van Cuong,2251164015,21/07/2006,Nam,1205000015,0654625166,phamvancuong15@sv.tlu.edu.vn,Kinh tế,Tài chính ngân hàng,65TCNH1,năm 1,3.50,Nam Định,303,Vùng sâu vùng xa,https://drive.google.com/file/d/1auaMGHleW9I3KLo0HGsjIcaPS-kTNQ1_/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,ngothilan16@gmail.com,Ngo Thi Lan,2251164016,06/07/2004,Nữ,1205000016,0756524392,ngothilan16@sv.tlu.edu.vn,Kinh tế,Kế toán,65KT1,năm 4,3.13,Thanh Hóa,558,Lưu học sinh (Lào/Campuchia),https://drive.google.com/file/d/1eLlZ96ekh_r_dVmJI6lkFdp4AUKcfIqu/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,buithihanh17@gmail.com,Bui Thi Hanh,2251164017,29/05/2006,Nữ,1205000017,0169714048,buithihanh17@sv.tlu.edu.vn,Quản trị kinh doanh,Marketing,65MKT1,năm 4,03.04,Thanh Hóa,5,Vùng sâu vùng xa,https://drive.google.com/file/d/1GGXcrXeDeMgrmG44piwfZ0mNSswaOnuT/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,phamvancuong18@gmail.com,Pham Van Cuong,2251164018,10/12/2005,Nam,1205000018,0860505533,phamvancuong18@sv.tlu.edu.vn,Xây dựng,Kỹ thuật xây dựng,65XDD1,năm 4,3.61,Lào Cai,348,Vùng sâu vùng xa,https://drive.google.com/file/d/1h60LPHIVCLuUuFtX217GDb7s5W6pDtDS/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dothimai19@gmail.com,Do Thi Mai,2251164019,15/02/2005,Nữ,1205000019,0233366647,dothimai19@sv.tlu.edu.vn,Kinh tế,Tài chính ngân hàng,65TCNH1,năm 2,3.26,Thanh Hóa,390,,https://drive.google.com/file/d/15vz2a1_egA4QtLAyIEZ3NF5zUs5RH7ww/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,buithihanh20@gmail.com,Bui Thi Hanh,2251164020,11/05/2004,Nữ,1205000020,0470752031,buithihanh20@sv.tlu.edu.vn,Cơ khí,Cơ khí chế tạo,65CK1,năm 1,3.43,Thanh Hóa,492,Vùng sâu vùng xa,https://drive.google.com/file/d/15bBFSpXUOJwjwb0Zn7Nk-L1EnKbYm8hT/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,tranvanbinh21@gmail.com,Tran Van Binh,2251164021,17/06/2006,Nam,1205000021,0699403661,tranvanbinh21@sv.tlu.edu.vn,Kinh tế,Kế toán,65KT1,năm 3,3.31,Lào Cai,168,Vùng sâu vùng xa,https://drive.google.com/file/d/1Kc63YIj2CoKgSzV2rJ5SF8piB7qqD0Uq/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,phamvancuong22@gmail.com,Pham Van Cuong,2251164022,23/10/2003,Nam,1205000022,0060833873,phamvancuong22@sv.tlu.edu.vn,Kinh tế,Kinh tế xây dựng,65KTXD1,năm 4,3.36,Lào Cai,284,Vùng sâu vùng xa,https://drive.google.com/file/d/1Si5Kuj2a6OZ4Xm97iXEU2jubLWpALZU2/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,nguyenvanan23@gmail.com,Nguyen Van An,2251164023,15/11/2003,Nam,1205000023,0515944487,nguyenvanan23@sv.tlu.edu.vn,Điện – Điện tử,Kỹ thuật điện,65D1,năm 1,3.37,Nghệ An,184,Vùng sâu vùng xa,https://drive.google.com/file/d/11pcjt43eKAJpfUzoHBuWn99AJrn8zB8h/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,ngothilan24@gmail.com,Ngo Thi Lan,2251164024,23/08/2003,Nữ,1205000024,0655156144,ngothilan24@sv.tlu.edu.vn,Ngôn ngữ học,Ngôn ngữ Trung,66NNT1,năm 3,3.51,Hà Nội,84,Vùng sâu vùng xa,https://drive.google.com/file/d/1yHVz6O0R3UwgnnwZMSSWVEuksIZy-1n_/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,buithihanh25@gmail.com,Bui Thi Hanh,2251164025,17/06/2005,Nữ,1205000025,0233976408,buithihanh25@sv.tlu.edu.vn,Công nghệ thông tin,Kỹ thuật phần mềm,64KTPM1,năm 3,2.89,Nam Định,372,,https://drive.google.com/file/d/19wsvjtsooczw2_7sIWS-qWTUwFx2AN5x/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,vuthiphuong26@gmail.com,Vu Thi Phuong,2251164026,30/11/2004,Nữ,1205000026,0306239024,vuthiphuong26@sv.tlu.edu.vn,Công nghệ thông tin,Mạng máy tính,64MMT1,năm 4,2.60,Thanh Hóa,373,Sinh viên khuyết tật,https://drive.google.com/file/d/1gewxtLVBUFDq2DiUyLIAPfyErE7hzDvr/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,phamvancuong27@gmail.com,Pham Van Cuong,2251164027,19/11/2004,Nam,1205000027,0176716510,phamvancuong27@sv.tlu.edu.vn,Công nghệ thông tin,Khoa học máy tính,64CNTT1,năm 1,03.05,Lào Cai,199,Vùng sâu vùng xa,https://drive.google.com/file/d/1ouDebIkKmmUIEsGKiHXPHrbTdSYOyC9p/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,nguyenvanan28@gmail.com,Nguyen Van An,2251164028,12/05/2005,Nam,1205000028,0809272886,nguyenvanan28@sv.tlu.edu.vn,Công nghệ thông tin,Kỹ thuật phần mềm,64KTPM1,năm 4,2.53,Nghệ An,95,"Con thương binh, liệt sỹ",https://drive.google.com/file/d/1Kel0BpMNSj0GHMdQvNi4g5WyKS4wlC4L/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,hoangvanlong29@gmail.com,Hoang Van Long,2251164029,04/01/2006,Nam,1205000029,0390248156,hoangvanlong29@sv.tlu.edu.vn,Công nghệ thông tin,Trí tuệ nhân tạo,64AI1,năm 3,3.55,Nghệ An,87,Vùng sâu vùng xa,https://drive.google.com/file/d/1JZQ9jswbCOHWlnNUmKBSLsiiKGSqr83c/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,buithihanh30@gmail.com,Bui Thi Hanh,2251164030,05/02/2004,Nữ,1205000030,0016984667,buithihanh30@sv.tlu.edu.vn,Công nghệ thông tin,Khoa học máy tính,64CNTT1,năm 2,3.81,Thanh Hóa,84,Vùng sâu vùng xa,https://drive.google.com/file/d/1HEdmxvMTntYAncrrjMkvTf-b96Lp9qla/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dothimai31@gmail.com,Do Thi Mai,2251164031,29/09/2005,Nữ,1205000031,0936159272,dothimai31@sv.tlu.edu.vn,Công nghệ thông tin,Khoa học máy tính,64CNTT1,năm 1,2.64,Gia Lai,508,,https://drive.google.com/file/d/1qOuIVQudq9R0YV1ui6SCpH_T_Fns1ntI/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,vuthiphuong32@gmail.com,Vu Thi Phuong,2251164032,25/11/2005,Nữ,1205000032,0215724324,vuthiphuong32@sv.tlu.edu.vn,Công nghệ thông tin,Mạng máy tính,64MMT1,năm 1,3.27,Hà Nội,363,Vùng sâu vùng xa,https://drive.google.com/file/d/1wkKdsjeFwk4y_2wzRqgePbyK4dLanmeT/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,ngothilan33@gmail.com,Ngo Thi Lan,2251164033,28/10/2004,Nữ,1205000033,0220737879,ngothilan33@sv.tlu.edu.vn,Điện – Điện tử,Kỹ thuật điện,65D1,năm 2,2.88,Hà Nội,342,Hộ nghèo cận nghèo,https://drive.google.com/file/d/1_ie0DoyfWS-lhzBfWcJUO3SFyvUbFdBD/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,phamvancuong34@gmail.com,Pham Van Cuong,2251164034,11/04/2003,Nam,1205000034,0745715772,phamvancuong34@sv.tlu.edu.vn,Kinh tế,Kế toán,65KT1,năm 1,3.61,Thanh Hóa,187,,https://drive.google.com/file/d/1LDhBhDOEi6WaKzNLb_XA6vR31CafZdmc/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,lethidieu35@gmail.com,Le Thi Dieu,2251164035,24/12/2003,Nữ,1205000035,0533179809,lethidieu35@sv.tlu.edu.vn,Ngôn ngữ học,Ngôn ngữ Trung,66NNT1,năm 2,03.08,Gia Lai,94,,https://drive.google.com/file/d/1-2P5d7ZsGlIbXjl-8ffPNw1REJMKp-cP/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,vuthiphuong36@gmail.com,Vu Thi Phuong,2251164036,06/04/2004,Nữ,1205000036,0027824606,vuthiphuong36@sv.tlu.edu.vn,Quản trị kinh doanh,Quản trị doanh nghiệp,65QTDN1,năm 1,2.96,Hà Nội,154,,https://drive.google.com/file/d/1hHjy4MSVVa40mbSOG0QzQGmkD-ZL_y3x/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dangvankhanh37@gmail.com,Dang Van Khanh,2251164037,19/05/2004,Nam,1205000037,0449690726,dangvankhanh37@sv.tlu.edu.vn,Quản trị kinh doanh,Marketing,65MKT1,năm 1,3.11,Nam Định,144,Vùng sâu vùng xa,https://drive.google.com/file/d/19c1PaeCbdZbNYLLY5FrcA-XR0sb47SLx/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,lethidieu38@gmail.com,Le Thi Dieu,2251164038,30/09/2003,Nữ,1205000038,0873841267,lethidieu38@sv.tlu.edu.vn,Điện – Điện tử,Kỹ thuật điện,65D1,năm 3,2.12,Gia Lai,179,Hộ nghèo cận nghèo,https://drive.google.com/file/d/1l0A_4towoFlN6RjOvrNKzqzr015UoGx-/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,hoangvanlong39@gmail.com,Hoang Van Long,2251164039,14/03/2004,Nam,1205000039,0611233746,hoangvanlong39@sv.tlu.edu.vn,Công nghệ thông tin,Khoa học máy tính,64CNTT1,năm 1,3.93,Gia Lai,532,Vùng sâu vùng xa,https://drive.google.com/file/d/15Kacnz1WF95XLvHurxGy0K9tOu5w7VmJ/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,tranvanbinh40@gmail.com,Tran Van Binh,2251164040,13/05/2006,Nam,1205000040,0143160069,tranvanbinh40@sv.tlu.edu.vn,Quản trị kinh doanh,Marketing,65MKT1,năm 1,2.53,Nam Định,283,Vùng sâu vùng xa,https://drive.google.com/file/d/1xa-HFoG8TKbdS6XDltr5z7ikh7jG2wZY/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,buithihanh41@gmail.com,Bui Thi Hanh,2251164041,14/04/2003,Nữ,1205000041,0533842689,buithihanh41@sv.tlu.edu.vn,Công nghệ thông tin,Khoa học máy tính,64CNTT1,năm 1,2.13,Thanh Hóa,363,Sinh viên khuyết tật,https://drive.google.com/file/d/1cZPAHOT2YYK93ILb6DKKMzyiGav7ooDx/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,tranvanbinh42@gmail.com,Tran Van Binh,2251164042,02/05/2004,Nam,1205000042,0588623132,tranvanbinh42@sv.tlu.edu.vn,Công nghệ thông tin,Kỹ thuật phần mềm,64KTPM1,năm 1,2.91,Thanh Hóa,454,Vùng sâu vùng xa,https://drive.google.com/file/d/1_ywpziewASG5Ed3VyT8R1d_Kt_a7_0p7/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,ngothilan43@gmail.com,Ngo Thi Lan,2251164043,27/07/2004,Nữ,1205000043,0868720300,ngothilan43@sv.tlu.edu.vn,Điện – Điện tử,Kỹ thuật điện,65D1,năm 1,2.84,Lào Cai,252,Vùng sâu vùng xa,https://drive.google.com/file/d/1dCN37z8MAKtYN6ulX4yd1Wt3z44Va_ZK/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,buithihanh44@gmail.com,Bui Thi Hanh,2251164044,18/08/2003,Nữ,1205000044,0870110011,buithihanh44@sv.tlu.edu.vn,Xây dựng,Kỹ thuật xây dựng,65XDD1,năm 4,2.93,Hưng Yên,145,"Con thương binh, liệt sỹ",https://drive.google.com/file/d/1DKj3nyM-FVKm4V7FZEw-QF1M2dnSFf9g/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,hoangvanlong45@gmail.com,Hoang Van Long,2251164045,16/11/2004,Nam,1205000045,0362844310,hoangvanlong45@sv.tlu.edu.vn,Công nghệ thông tin,Hệ thống thông tin,64HTTT2,năm 2,3.73,Nghệ An,237,Vùng sâu vùng xa,https://drive.google.com/file/d/1Z08_yr_ldyIX_MLMn4xzzlAd4UHmTCaJ/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,lethidieu46@gmail.com,Le Thi Dieu,2251164046,06/03/2006,Nữ,1205000046,0403276088,lethidieu46@sv.tlu.edu.vn,Môi trường,Kỹ thuật môi trường,65MT1,năm 4,3.24,Hà Nội,317,,https://drive.google.com/file/d/1KeCxsWimS4PJQlWv4wypE2QThasiTsPR/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,hoangvanlong47@gmail.com,Hoang Van Long,2251164047,30/08/2003,Nam,1205000047,0652042220,hoangvanlong47@sv.tlu.edu.vn,Cơ khí,Cơ khí chế tạo,65CK1,năm 1,2.95,Hưng Yên,502,,https://drive.google.com/file/d/1sR5vwq75S5yTSSvSVm0EPbf2p1QOdkaI/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,tranvanbinh48@gmail.com,Tran Van Binh,2251164048,04/09/2006,Nam,1205000048,0574728502,tranvanbinh48@sv.tlu.edu.vn,Công nghệ thông tin,Trí tuệ nhân tạo,64AI1,năm 1,3.84,Lào Cai,260,,https://drive.google.com/file/d/1hHeS83DbcZtNPlb6Zpmkb9ni8Zj2jeM5/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,nguyenvanan49@gmail.com,Nguyen Van An,2251164049,07/06/2003,Nam,1205000049,0180264450,nguyenvanan49@sv.tlu.edu.vn,Kinh tế,Kế toán,65KT1,năm 1,03.09,Hưng Yên,485,Vùng sâu vùng xa,https://drive.google.com/file/d/19vZ6-4TxXaGorz6_1BKhvu4hSFyR18OE/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,hoangvanlong50@gmail.com,Hoang Van Long,2251164050,29/08/2003,Nam,1205000050,0499329025,hoangvanlong50@sv.tlu.edu.vn,Điện – Điện tử,Kỹ thuật điện,65D1,năm 1,2.33,Lào Cai,156,Lưu học sinh (Lào/Campuchia),https://drive.google.com/file/d/1aKLnR8xB99CGnFyliSyHE_z3KJAveQSc/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dangvankhanh51@gmail.com,Dang Van Khanh,2251164051,03/11/2005,Nam,1205000051,0830640520,dangvankhanh51@sv.tlu.edu.vn,Xây dựng,Công trình thủy,65CTT1,năm 2,3.80,Thanh Hóa,182,Vùng sâu vùng xa,https://drive.google.com/file/d/1zyrqamzN3xhFDWaBudd-ij3uAnWzRvWr/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,hoangvanlong52@gmail.com,Hoang Van Long,2251164052,14/04/2003,Nam,1205000052,0200622263,hoangvanlong52@sv.tlu.edu.vn,Ngôn ngữ học,Ngôn ngữ Anh,66NNA1,năm 1,2.80,Nam Định,505,Vùng sâu vùng xa,https://drive.google.com/file/d/1mVgvRAeiwM1Q-bQcfO_oYy-Y-3vKguwX/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dangvankhanh53@gmail.com,Dang Van Khanh,2251164053,27/08/2006,Nam,1205000053,0403457044,dangvankhanh53@sv.tlu.edu.vn,Công nghệ thông tin,Kỹ thuật phần mềm,64KTPM1,năm 1,3.31,Nam Định,579,,https://drive.google.com/file/d/1GrNz9w6LfQHSHc_nNaYeS-XwJxaXCpHB/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,hoangvanlong54@gmail.com,Hoang Van Long,2251164054,22/04/2004,Nam,1205000054,0580279060,hoangvanlong54@sv.tlu.edu.vn,Công nghệ thông tin,Mạng máy tính,64MMT1,năm 1,3.15,Nghệ An,326,Vùng sâu vùng xa,https://drive.google.com/file/d/1l5pDi0MoNIHliCcyZIjiJeM0Wo6mQK6G/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,vuthiphuong55@gmail.com,Vu Thi Phuong,2251164055,03/08/2005,Nữ,1205000055,0048825498,vuthiphuong55@sv.tlu.edu.vn,Công nghệ thông tin,Khoa học máy tính,64CNTT1,năm 1,2.77,Hà Nội,198,Vùng sâu vùng xa,https://drive.google.com/file/d/1r025VvHoIUebahpMKDP2wDuQvTfqcO4I/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,vuthiphuong56@gmail.com,Vu Thi Phuong,2251164056,31/10/2006,Nữ,1205000056,0961397514,vuthiphuong56@sv.tlu.edu.vn,Quản trị kinh doanh,Marketing,65MKT1,năm 1,3.57,Hà Nội,496,Vùng sâu vùng xa,https://drive.google.com/file/d/15hX6ZA4Z0UjMAy-eIjwTB3tYEJpOqDdL/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,ngothilan57@gmail.com,Ngo Thi Lan,2251164057,19/06/2003,Nữ,1205000057,0479957385,ngothilan57@sv.tlu.edu.vn,Quản trị kinh doanh,Quản trị doanh nghiệp,65QTDN1,năm 1,3.58,Nam Định,394,,https://drive.google.com/file/d/1FojwNKC-W1FIVH1spxHrq63shwu1Xlbv/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,ngothilan58@gmail.com,Ngo Thi Lan,2251164058,28/11/2004,Nữ,1205000058,0605260947,ngothilan58@sv.tlu.edu.vn,Cơ khí,Cơ khí chế tạo,65CK1,năm 4,3.19,Hà Nội,438,Lưu học sinh (Lào/Campuchia),https://drive.google.com/file/d/17qgKLotdmLB21cDnpjfhBgcQWPdTYRif/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,buithihanh59@gmail.com,Bui Thi Hanh,2251164059,07/08/2004,Nữ,1205000059,0987112987,buithihanh59@sv.tlu.edu.vn,Quản trị kinh doanh,Quản trị doanh nghiệp,65QTDN1,năm 1,2.92,Hưng Yên,566,,https://drive.google.com/file/d/1zqDt9gLghNzkXAha6O_j-MjGOekCECft/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,vuthiphuong60@gmail.com,Vu Thi Phuong,2251164060,17/04/2006,Nữ,1205000060,0652139573,vuthiphuong60@sv.tlu.edu.vn,Ngôn ngữ học,Ngôn ngữ Anh,66NNA1,năm 1,03.08,Thanh Hóa,120,Sinh viên khuyết tật,https://drive.google.com/file/d/1dSQpI-TJLy82fukK64A3RFbwqtUeK4JW/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,tranvanbinh61@gmail.com,Tran Van Binh,2251164061,26/06/2006,Nam,1205000061,0604838760,tranvanbinh61@sv.tlu.edu.vn,Kinh tế,Kế toán,65KT1,năm 1,2.52,Nam Định,527,Vùng sâu vùng xa,https://drive.google.com/file/d/1LFKJ45yo1NUsFj_pQaaHFWcIZETUsHWA/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,nguyenvanan62@gmail.com,Nguyen Van An,2251164062,07/02/2006,Nam,1205000062,0876639188,nguyenvanan62@sv.tlu.edu.vn,Kinh tế,Tài chính ngân hàng,65TCNH1,năm 4,3.30,Nghệ An,308,Vùng sâu vùng xa,https://drive.google.com/file/d/1c80WEZUwCoC0YNLT-gHbAIMfoliq4vgB/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,buithihanh63@gmail.com,Bui Thi Hanh,2251164063,08/09/2005,Nữ,1205000063,0230376283,buithihanh63@sv.tlu.edu.vn,Công nghệ thông tin,Kỹ thuật phần mềm,64KTPM1,năm 2,3.40,Nam Định,178,Vùng sâu vùng xa,https://drive.google.com/file/d/1LhOXPJJwjDMWTV95NT_qo58lFuacs2pF/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,phamvancuong64@gmail.com,Pham Van Cuong,2251164064,10/10/2005,Nam,1205000064,0894804725,phamvancuong64@sv.tlu.edu.vn,Cơ khí,Cơ khí chế tạo,65CK1,năm 1,3.43,Gia Lai,407,Vùng sâu vùng xa,https://drive.google.com/file/d/1FxuGOonCVBx2QbnsltMMMFhQQHsFFTzK/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
